Lemma,NPx,Refl,AbsTotal
muohtu,4,1,142
muorra,2,3,1310
muođut,4,1,96
musea,1,5,2288
musihkar,0,5,356
musihkka,43,113,3999
musihkkajoavku,5,6,161
máddu,20,45,357
máhppa,1,5,16
máhtolašvuohta,2,10,221
máhttu,31,60,1875
máhtu,1,7,276
máilbmi,0,30,6007
málle,0,18,652
mánná,400,244,18678
mánnávuohta,3,38,528
mánáidmánná,7,14,167
mánáš,9,0,116
márkan,0,7,2605
mátki,30,33,3686
máttaráddjá,3,2,57
namma,110,111,5655
neahpi,3,7,60
neahttasiidu,17,51,1004
niehku,22,26,893
nieida,87,49,5912
nieiddaš,6,17,1298
njunni,6,4,282
njunuš,0,7,1771
njuohtat,1,5,304
njuolggadus,6,24,3986
njuovahat,0,15,1133
njuovčča,2,7,141
njálbmi,7,5,553
nuorra,8,42,17523
nuorravuohta,1,10,157
nákca,41,65,1593
nákkosgirji,4,10,64
násti,4,10,818
návet,0,5,386
oabbá,64,24,925
oadjebasvuohta,0,5,344
oahpaheaddji,1,16,4857
oahpahus,9,7,2743
oahpis,1,8,1220
oahppi,4,28,6049
oahppu,27,22,3855
oaidnu,138,248,3870
oaivi,10,19,1089
oaivil,67,171,2168
oalgi,5,3,153
oambealle,4,5,88
oamedovdu,4,7,221
oapmi,2,4,143
oappáš,5,2,140
oarpmealle,5,2,36
oassi,11,75,8264
oasus,8,9,269
oađđenlatnja,1,4,284
ofelaš,1,4,605
ohcamuš,5,5,773
ohcan,6,8,2302
oiddot,1,4,69
oktavuohta,2,17,11287
olbmáš,23,0,60
olmmoš,8,147,38427
olmmái,52,85,3870
opmodat,8,27,777
organisašuvdna,4,39,2600
orgána,1,20,924
orohat,2,43,3339
orrunbáiki,0,6,178
osku,15,21,830
ossodat,0,18,1575
ovdagovva,0,5,413
ovdagáddu,2,10,307
ovdamunni,0,6,619
ovdanbuktin,0,6,205
ovddasteaddji,0,12,1643
ovddastus,3,2,70
ovddasvástádus,12,91,4154
ovdáneapmi,1,13,1719
ovttasbargoguoibmi,2,14,325
ovttasbargu,1,8,3373
ođas,0,8,24613
ođđajagesárdni,11,7,81
parlameanta,0,16,237
plána,17,57,3643
politihkar,0,8,3535
politihkka,7,93,2369
posišuvdna,3,31,423
preassadieđáhus,5,8,981
premissa,0,6,20
presideanta,2,9,3446
prinsihppa,2,4,431
prográmma,5,27,3259
proseassa,2,4,980
prošeakta,10,56,5222
rahpansárdni,18,8,64
rahčamuš,3,10,240
raporta,22,14,1549
reaŋga,16,9,394
rehket,2,8,406
reive,121,11,2097
resursa,1,18,1006
riekteáddejupmi,0,5,79
riekti,20,51,2803
riggodat,4,12,839
riidu,4,6,1676
riika,18,88,5129
riikkačoahkkin,0,5,1101
risnieida,0,7,28
roahkkatvuohta,2,3,39
rohkka,0,5,630
rolla,0,48,837
romána,2,6,292
ruhta,45,101,10674
ruhtabursa,0,12,121
ruhtadilli,1,39,705
rumaš,6,19,345
rumbu,1,4,313
ruohtas,6,23,202
ruoktu,103,115,1771
ruovdi,5,0,210
ruovttubáiki,12,57,445
ruovttugielda,2,7,44
ruovttuguovlu,5,19,257
ruovtturiika,2,10,63
ruovttusiidu,12,23,561
ruovttusuohkan,0,6,36
ruska,4,5,426
rusttet,0,11,996
rádio,1,5,1390
rádji,2,10,1203
rádjá,1,5,953
ráhkis,41,48,654
ráhkisvuohta,3,7,848
rámbuvra,0,7,290
ránnjá,0,9,380
ráđđehus,2,29,5170
ráđđi,5,10,3052
sadji,31,57,6258
sajádat,1,8,215
salla,8,8,214
seahkka,5,13,452
seaibi,6,0,129
sealgi,5,4,251
searat,11,3,755
searra,5,4,1290
searvegoddi,4,7,905
searvi,8,61,10921
seaŋga,5,11,278
servodat,5,66,6009
show,1,8,370
siellu,17,18,301
siessá,6,2,124
siida,4,12,2433
siidaoassi,0,9,233
siidu,5,11,5209
silbačikŋa,1,4,69
sisaboahtu,4,3,427
sisti,5,0,159
sivva,0,20,3691
skearru,1,38,1112
skibir,14,20,381
skohter,6,15,1595
skuovva,2,6,244
skuter,1,8,594
skuvla,9,42,12146
soabbi,8,8,163
soadji,4,2,90
sogalaš,0,6,46
sohka,2,35,677
sohkabealli,2,5,327
speallu,1,4,529
sponsor,0,5,134
spábbačiekčan,3,3,1353
stiila,1,5,75
stivra,2,25,4115
stivren,2,4,148
stohpu,1,7,390
strategiija,0,6,279
strategiijaplána,1,4,77
studeanta,2,8,1496
stuollu,6,6,285
stággu,1,5,307
stáhta,2,7,7069
stáhtabušeahtta,1,4,645
suddu,17,1,465
suhttu,2,7,236
suohkan,3,50,11292
suopman,4,15,308
suorbma,3,2,194
suorgi,1,8,1142
ságastallan,3,6,820
ságat,4,3,1191
sáhka,10,6,4429
sáhkavuorru,47,19,373
sálaš,4,4,206
sálašmearri,6,9,37
sámediggeáirras,1,5,1435
sámediggi,0,5,7281
sámegiella,3,17,12327
sámegielmáhttu,0,5,89
sámepolitihkka,1,11,673
sámevuohta,11,34,672
sápmelašvuohta,9,13,266
sárdni,146,34,706
sátnejođiheaddji,0,8,4743
sátnevuorru,22,7,119
sátni,25,30,3997
sátta,2,9,825
sávaldat,2,10,497
sávza,7,5,641
sáŋgár,0,7,160
teaksta,2,18,874
telefovdna,2,4,1316
tevnnet,1,9,287
teáhterbihttá,0,9,334
teáhterčájálmas,0,6,164
turnea,1,4,116
uksa,18,4,965
ulbmil,5,38,4828
ustit,45,44,999
valáštallansuorgi,1,4,77
veahka,5,3,102
veahkki,1,10,4513
vealgi,10,4,255
vearredahku,7,1,280
vejolašvuohta,8,20,7007
verdde,11,4,278
veršuvdna,0,5,103
vieljaš,12,1,182
viellja,82,34,1192
vierru,4,6,489
viessu,14,69,3261
vilbealle,14,9,177
virgi,125,15,4454
visti,3,15,2029
vivva,6,3,290
vuodjin,1,6,986
vuogga,1,5,359
vuogádat,0,12,690
vuohki,4,90,3827
vuoigatvuohta,61,93,5137
vuoitu,7,2,2255
vuoiŋŋalašvuohta,1,5,97
vuoján,4,14,417
vuokta,5,11,312
vuorbi,3,2,205
vuordámuš,2,5,762
vuorká,0,6,696
vuorru,9,7,1897
vuoruhit,0,10,3681
vuosteháhku,19,7,470
vuostemiella,5,0,61
vuotna,1,6,629
vuovdi,0,7,1430
vuođđu,2,4,2734
váhnen,52,65,4059
váibmoášši,0,8,121
váibmu,43,13,895
váldi,4,12,1434
váldofágabargu,3,2,28
válga,3,4,1820
válgabiire,0,9,855
válgagižžu,0,6,355
válgalohpádus,3,2,135
válgaprográmma,3,8,97
válljen,1,11,208
